Designator,Mid X,Mid Y,Rotation,Layer
C1,85.1375,-32,180,top
C2,85.1375,-38,0,top
C3,80.5,-33,270,top
C4,66,-39,270,top
C5,43.5,-33.113723,90,top
D1,63.376035,-41.826222,0,top
D10,43.026035,-39.826222,0,top
D11,41.056008,-39.827553,0,top
D12,39.138125,-39.827553,0,top
D13,37.233535,-39.826222,0,top
D14,38.526035,-37.326222,0,top
D15,39.876035,-34.826222,0,top
D16,41.026035,-32.326222,0,top
D2,60.526035,-41.826222,0,top
D3,57.376035,-41.826222,0,top
D4,54.376035,-41.826222,0,top
D5,51.526035,-41.826222,0,top
D6,48.526035,-41.826222,0,top
D7,45.526035,-41.826222,0,top
D8,42.376035,-41.826222,0,top
D9,38.951035,-41.826222,0,top
U1,75.1375,-34.425,90,top
U2,85,-35,90,top
